clock_counter=45, pc=b0, r_1=4, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=46, pc=b4, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=47, pc=b8, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=48, pc=bc, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=49, pc=d0, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=11, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=50, pc=d4, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=12, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=51, pc=d8, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=13, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=52, pc=dc, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=14, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=53, pc=e0, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=15, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=54, pc=e4, r_1=0, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=10, r_19=0, r_1a=16, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
